food_id,canonical_name,entity_type,state,country_region,cuisine,primary_source_id,primary_source_record_id,data_status
GF-ING-00075,Mustard leaves,ingredient,unspecified,India,,SRC-IFCT2017,C026,source_mapped
GF-ING-00076,Pak Choi leaves,ingredient,unspecified,India,,SRC-IFCT2017,C027,source_mapped
GF-ING-00077,Parsley,ingredient,unspecified,India,,SRC-IFCT2017,C028,source_mapped
GF-ING-00078,Ponnaganni,ingredient,unspecified,India,,SRC-IFCT2017,C029,source_mapped
GF-ING-00079,"Pumpkin leaves, tender",ingredient,unspecified,India,,SRC-IFCT2017,C030,source_mapped
GF-ING-00080,Radish leaves,ingredient,unspecified,India,,SRC-IFCT2017,C031,source_mapped
GF-ING-00081,Rumex leaves,ingredient,unspecified,India,,SRC-IFCT2017,C032,source_mapped
GF-ING-00082,Spinach,ingredient,unspecified,India,,SRC-IFCT2017,C033,source_mapped
GF-ING-00083,"Tamarind leaves, tender",ingredient,unspecified,India,,SRC-IFCT2017,C034,source_mapped
GF-ING-00084,Ash gourd,ingredient,unspecified,India,,SRC-IFCT2017,D001,source_mapped
GF-ING-00085,"Bamboo shoot, tender",ingredient,unspecified,India,,SRC-IFCT2017,D002,source_mapped
GF-ING-00086,"Bean scarlet, tender",ingredient,unspecified,India,,SRC-IFCT2017,D003,source_mapped
GF-ING-00087,"Bitter gourd, jagged, teeth ridges, elongate",ingredient,unspecified,India,,SRC-IFCT2017,D004,source_mapped
GF-ING-00088,"Bitter gourd, jagged, teeth ridges, short",ingredient,unspecified,India,,SRC-IFCT2017,D005,source_mapped
GF-ING-00089,"Bitter gourd, jagged, smooth ridges, elongate",ingredient,unspecified,India,,SRC-IFCT2017,D006,source_mapped
GF-ING-00090,"Bottle gourd, elongate, pale green",ingredient,unspecified,India,,SRC-IFCT2017,D007,source_mapped
GF-ING-00091,"Bottle gourd, round, pale green",ingredient,unspecified,India,,SRC-IFCT2017,D008,source_mapped
GF-ING-00092,"Bottle gourd, elongate, dark green",ingredient,unspecified,India,,SRC-IFCT2017,D009,source_mapped
GF-ING-00093,Brinjal 1,ingredient,unspecified,India,,SRC-IFCT2017,D010,source_mapped
GF-ING-00094,Brinjal 2,ingredient,unspecified,India,,SRC-IFCT2017,D011,source_mapped
GF-ING-00095,Brinjal 3,ingredient,unspecified,India,,SRC-IFCT2017,D012,source_mapped
GF-ING-00096,Brinjal 4,ingredient,unspecified,India,,SRC-IFCT2017,D013,source_mapped
GF-ING-00097,Brinjal 5,ingredient,unspecified,India,,SRC-IFCT2017,D014,source_mapped
GF-ING-00098,Brinjal 6,ingredient,unspecified,India,,SRC-IFCT2017,D015,source_mapped
GF-ING-00099,Brinjal 7,ingredient,unspecified,India,,SRC-IFCT2017,D016,source_mapped
GF-ING-00100,Brinjal 8,ingredient,unspecified,India,,SRC-IFCT2017,D017,source_mapped
GF-ING-00101,Brinjal 9,ingredient,unspecified,India,,SRC-IFCT2017,D018,source_mapped
GF-ING-00102,Brinjal 10,ingredient,unspecified,India,,SRC-IFCT2017,D019,source_mapped
GF-ING-00103,Brinjal 11,ingredient,unspecified,India,,SRC-IFCT2017,D020,source_mapped
GF-ING-00104,Brinjal 12,ingredient,unspecified,India,,SRC-IFCT2017,D021,source_mapped
GF-ING-00105,Brinjal 13,ingredient,unspecified,India,,SRC-IFCT2017,D022,source_mapped
GF-ING-00106,Brinjal 14,ingredient,unspecified,India,,SRC-IFCT2017,D023,source_mapped
GF-ING-00107,Brinjal 15,ingredient,unspecified,India,,SRC-IFCT2017,D024,source_mapped
GF-ING-00108,Brinjal 16,ingredient,unspecified,India,,SRC-IFCT2017,D025,source_mapped
GF-ING-00109,Brinjal 17,ingredient,unspecified,India,,SRC-IFCT2017,D026,source_mapped
GF-ING-00110,Brinjal 18,ingredient,unspecified,India,,SRC-IFCT2017,D027,source_mapped
GF-ING-00111,Brinjal 19,ingredient,unspecified,India,,SRC-IFCT2017,D028,source_mapped
GF-ING-00112,Brinjal 20,ingredient,unspecified,India,,SRC-IFCT2017,D029,source_mapped
GF-ING-00113,Brinjal 21,ingredient,unspecified,India,,SRC-IFCT2017,D030,source_mapped
GF-ING-00114,Brinjal - all varieties,ingredient,unspecified,India,,SRC-IFCT2017,D031,source_mapped
