food_id,recipe_code,recipe_name,recipe_source_type,source_id,source_record_id
GF-REC-00120,ASC122,Mutton biryani/biriyani,asc_manual,SRC-INDB,ASC122
GF-REC-00121,ASC123,Vegetable biryani/biriyani,asc_manual,SRC-INDB,ASC123
GF-REC-00122,ASC124,"Lemon rice (Pulihora, Elumichai sadam, Chitranna)",asc_manual,SRC-INDB,ASC124
GF-REC-00123,ASC125,Sweet rice (Meethe chawal),asc_manual,SRC-INDB,ASC125
GF-REC-00124,ASC126,Curd rice (Dahi bhaat/Dahi chawal/ Perugu annam/Daddojanam/Thayir saadam),asc_manual,SRC-INDB,ASC126
GF-REC-00125,ASC127,Tamarind rice (Chintapandu pulihora/Puliyodharai/Puli sadam/Huli anna),asc_manual,SRC-INDB,ASC127
GF-REC-00126,ASC128,Spanish rice,asc_manual,SRC-INDB,ASC128
GF-REC-00127,ASC129,Chinese fried rice,asc_manual,SRC-INDB,ASC129
GF-REC-00128,ASC130,Classic italian pasta,asc_manual,SRC-INDB,ASC130
GF-REC-00129,ASC131,Pasta spinach sauce,asc_manual,SRC-INDB,ASC131
GF-REC-00130,ASC132,Pasta cheese sauce,asc_manual,SRC-INDB,ASC132
GF-REC-00131,ASC133,Macroni cheese pie,asc_manual,SRC-INDB,ASC133
GF-REC-00132,ASC134,Vegetable chowmein,asc_manual,SRC-INDB,ASC134
GF-REC-00133,ASC135,Chicken chowmein,asc_manual,SRC-INDB,ASC135
GF-REC-00134,ASC136,Cheese noodle ring,asc_manual,SRC-INDB,ASC136
GF-REC-00135,ASC137,Spaghetti and cheese balls in tomato sauce,asc_manual,SRC-INDB,ASC137
GF-REC-00136,ASC138,Penne platter,asc_manual,SRC-INDB,ASC138
GF-REC-00137,ASC139,Pasta hot pot,asc_manual,SRC-INDB,ASC139
GF-REC-00138,ASC140,Chicken lasagne,asc_manual,SRC-INDB,ASC140
GF-REC-00139,ASC141,Fettuccine with spinach sauce,asc_manual,SRC-INDB,ASC141
GF-REC-00140,ASC142,Naan,asc_manual,SRC-INDB,ASC142
