food_id,canonical_name,source_id,source_record_id,usage_status,reason
GF-ING-00090,"Bottle gourd, elongate, pale green",SRC-IFCT2017,D007,usable_source_value,India-first primary source.
GF-ING-00091,"Bottle gourd, round, pale green",SRC-IFCT2017,D008,usable_source_value,India-first primary source.
GF-ING-00092,"Bottle gourd, elongate, dark green",SRC-IFCT2017,D009,usable_source_value,India-first primary source.
GF-ING-00093,Brinjal 1,SRC-IFCT2017,D010,usable_source_value,India-first primary source.
GF-ING-00094,Brinjal 2,SRC-IFCT2017,D011,usable_source_value,India-first primary source.
GF-ING-00095,Brinjal 3,SRC-IFCT2017,D012,usable_source_value,India-first primary source.
GF-ING-00096,Brinjal 4,SRC-IFCT2017,D013,usable_source_value,India-first primary source.
GF-ING-00097,Brinjal 5,SRC-IFCT2017,D014,usable_source_value,India-first primary source.
GF-ING-00098,Brinjal 6,SRC-IFCT2017,D015,usable_source_value,India-first primary source.
GF-ING-00099,Brinjal 7,SRC-IFCT2017,D016,usable_source_value,India-first primary source.
GF-ING-00100,Brinjal 8,SRC-IFCT2017,D017,usable_source_value,India-first primary source.
GF-ING-00101,Brinjal 9,SRC-IFCT2017,D018,usable_source_value,India-first primary source.
GF-ING-00102,Brinjal 10,SRC-IFCT2017,D019,usable_source_value,India-first primary source.
GF-ING-00103,Brinjal 11,SRC-IFCT2017,D020,usable_source_value,India-first primary source.
GF-ING-00104,Brinjal 12,SRC-IFCT2017,D021,usable_source_value,India-first primary source.
GF-ING-00105,Brinjal 13,SRC-IFCT2017,D022,usable_source_value,India-first primary source.
GF-ING-00106,Brinjal 14,SRC-IFCT2017,D023,usable_source_value,India-first primary source.
GF-ING-00107,Brinjal 15,SRC-IFCT2017,D024,usable_source_value,India-first primary source.
GF-ING-00108,Brinjal 16,SRC-IFCT2017,D025,usable_source_value,India-first primary source.
GF-ING-00109,Brinjal 17,SRC-IFCT2017,D026,usable_source_value,India-first primary source.
GF-ING-00110,Brinjal 18,SRC-IFCT2017,D027,usable_source_value,India-first primary source.
GF-ING-00111,Brinjal 19,SRC-IFCT2017,D028,usable_source_value,India-first primary source.
GF-ING-00112,Brinjal 20,SRC-IFCT2017,D029,usable_source_value,India-first primary source.
GF-ING-00113,Brinjal 21,SRC-IFCT2017,D030,usable_source_value,India-first primary source.
